Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Score
CIN,Hunter Renfroe,-13.139999999999997,0.7843137254902077,-9.320388349514563,4.757709251101326,-3.4782608695652204,-5.0,0.44399999999999995,-11.3
ARI,Alek Thomas,-23.21,4.705882352941181,23.300970873786397,9.691629955947135,-0.34782608695652206,-26.0,0.871,-11.3
CHC,Patrick Wisdom,-11.93,-4.70588235294117,9.320388349514563,-27.488986784140963,6.782608695652169,18.0,1.1640000000000001,-11.7
SF,Brett Wisely,-4.440892098500626e-16,3.921568627450995,-3.4951456310679756,-16.740088105726855,11.652173913043478,-7.0,1.367,-11.7
CHW,Oscar Colas,-23.21,-7.058823529411761,19.41747572815534,-19.030837004405296,2.7826086956521667,-16.0,0.264,-12.0
MIL,Brian Anderson,-23.21,1.5686274509804046,8.932038834951454,-12.687224669603527,8.695652173913041,-27.0,0.264,-12.1
BAL,Ryan McKenna,-23.21,6.274509803921575,30.679611650485437,-11.806167400881058,-1.9130434782608714,-27.0,0.791,-12.1
ATL,Austin Riley,1.4399999999999995,3.1372549019607874,1.9417475728155251,-12.687224669603527,-0.521739130434783,-2.0,1.405,-12.2
TEX,Leody Taveras,-7.210000000000001,7.058823529411761,3.4951456310679543,-12.33480176211454,7.999999999999997,-11.0,1.0390000000000001,-12.5
ARI,Jose Herrera,-23.21,-0.784313725490186,6.213592233009705,3.3480176211453774,2.434782608695645,-26.0,0.264,-12.6
NYY,G. Stanton,37.31,-3.1372549019607767,-7.766990291262144,-16.211453744493397,-1.217391304347827,-21.0,1.0819999999999999,-13.0
TB,Vidal Brujan,-21.389999999999997,0.7843137254902077,1.9417475728155251,-1.0572687224669515,-8.695652173913041,-21.0,0.264,-13.0
OAK,Aledmys Diaz,-23.21,7.058823529411772,2.7184466019417393,1.5859030837004517,-4.695652173913038,-19.0,0.708,-13.0
OAK,Jordan Diaz,-23.21,3.9215686274509842,4.271844660194168,-6.872246696035238,0.8695652173913051,-5.0,0.708,-13.3
BOS,Connor Wong,-9.54,7.058823529411772,9.70873786407767,-13.215859030837008,-3.652173913043482,-41.0,0.264,-13.4
OAK,Ryan Noda,-23.21,-3.1372549019607767,-21.359223300970882,-19.38325991189428,5.3913043478260825,16.0,1.1640000000000001,-14.2
BOS,Wilyer Abreu,14.780000000000001,0.7843137254902077,-5.0485436893203826,-17.44493392070485,0.0,-5.0,1.1920000000000002,-14.2
