,Unnamed: 0.1,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
336,336,336,MIN,Trevor Larnach,-6.96,-6.274509803921564,-12.038834951456312,-19.20704845814977,15.826086956521724,18.0,0.611,0.96,-6.2,-5.2
337,337,337,MIN,Ryan Jeffers,6.980000000000002,0.7843137254901968,6.601941747572813,-13.215859030836988,11.652173913043478,2.0,1.194,0.96,17.0,18.0
338,338,338,OAK,Seth Brown,-11.97,1.5686274509803937,14.368932038834956,-5.110132158590303,-3.1304347826086985,9.0,0.948,0.96,4.3,5.3
339,339,339,MIN,Royce Lewis,21.99,0.7843137254901968,5.825242718446598,-5.991189427312771,9.913043478260867,65.0,1.259,0.96,117.9,118.9
340,340,340,OAK,T. Soderstrom,-20.22,-3.9215686274509736,22.135922330097088,-36.29955947136562,-8.34782608695652,-27.0,0.965,0.96,-68.2,-67.2
341,341,341,OAK,Brent Rooker,15.04,-3.9215686274509736,2.330097087378632,-22.202643171806177,1.0434782608695563,-22.0,1.434,0.96,-40.9,-39.9
342,342,342,OAK,Cody Thomas,-33.73,-9.411764705882351,13.203883495145632,-41.938325991189416,-6.956521739130432,-46.0,0.786,0.96,-119.8,-118.8
343,343,343,OAK,Conner Capel,-22.47,-5.490196078431367,6.213592233009705,-14.096916299559474,5.739130434782604,-22.0,0.786,0.96,-50.0,-49.0
344,344,344,OAK,Esteury Ruiz,-16.199999999999996,1.5686274509803937,24.46601941747572,-3.7004405286343545,-7.130434782608692,-52.0,1.026,0.96,-52.2,-51.2
345,345,345,OAK,Carlos Perez,12.62,2.3529411764705905,17.087378640776695,-4.933920704845811,-1.5652173913043492,-35.0,0.786,0.96,-7.1,-6.1
346,346,346,OAK,Jesus Aguilar,-23.28,1.088453945710938e-14,11.262135922330096,-8.458149779735681,-6.086956521739136,-74.0,1.026,0.96,-96.5,-95.5
347,347,347,CIN,Jason Vosler,-14.72,-8.627450980392155,1.941747572815525,-28.54625550660795,-9.043478260869565,-46.0,0.611,0.95,-99.7,-98.7
348,348,348,CIN,Kevin Newman,0.5199999999999996,2.352941176470601,16.699029126213585,0.881057268722458,4.869565217391299,-16.0,0.904,0.95,8.9,9.9
349,349,349,CIN,Jose Garcia,-14.500000000000002,-3.1372549019607767,4.660194174757276,-23.7885462555066,-4.173913043478264,-32.0,0.904,0.95,-69.3,-68.3
350,350,350,CIN,Jonathan India,-9.290000000000004,-7.843137254901959,-13.980582524271847,-14.096916299559474,3.1304347826086887,-4.0,0.904,0.95,-39.6,-38.6
351,351,351,CIN,Joey Votto,-13.500000000000004,-3.1372549019607767,0.3883495145630964,-17.97356828193833,-14.956521739130435,-28.0,0.948,0.95,-69.5,-68.5
352,352,352,CIN,Hunter Renfroe,-10.260000000000002,-4.70588235294117,-6.601941747572822,-7.40088105726872,-4.521739130434777,-1.0,0.728,0.95,-32.8,-31.799999999999997
353,353,353,CIN,Jake Fraley,7.46,-1.568627450980383,11.262135922330096,-11.806167400881058,8.173913043478258,6.0,0.611,0.95,11.3,12.3
354,354,354,CIN,Matt McLain,9.689999999999998,-7.843137254901959,0.7766990291262036,-24.84581497797356,7.652173913043476,-12.0,0.74,0.95,-25.2,-24.2
355,355,355,CIN,Henry Ramos,7.32,-0.784313725490186,8.932038834951454,-13.215859030837008,0.0,7.0,0.728,0.95,8.8,9.8
356,356,356,CIN,Harrison Bader,12.5,0.7843137254902077,11.262135922330096,-2.9955947136563905,-1.913043478260872,4.0,0.728,0.95,16.3,17.3
357,357,357,CIN,E. De La Cruz,-12.510000000000002,-3.1372549019607767,-5.825242718446607,-17.44493392070485,-4.695652173913038,-15.0,0.908,0.95,-55.7,-54.7
358,358,358,CIN,Curt Casali,-20.200000000000003,-7.058823529411761,-7.766990291262144,-14.801762114537448,-8.52173913043478,-33.0,0.908,0.95,-86.8,-85.8
359,359,359,CIN,C. En-Strand,4.6800000000000015,-1.568627450980383,12.42718446601942,-18.8546255506608,9.043478260869565,0.0,0.908,0.95,5.4,6.4
360,360,360,CIN,Luke Maile,12.86,-3.1372549019607767,11.262135922330096,-14.801762114537448,-5.913043478260866,-11.0,0.74,0.95,-7.5,-6.5
361,361,361,KC,Samad Taylor,-38.63,-3.1372549019607767,1.5533980582524178,-41.23348017621144,2.260869565217384,-50.0,1.121,0.95,-122.7,-121.7
362,362,362,CIN,Nick Martini,1.6799999999999995,-2.3529411764705794,-5.825242718446607,-8.810572687224669,0.347826086956522,-1.0,0.768,0.95,-11.6,-10.6
363,363,363,KC,V. Pasquantino,-2.6099999999999994,7.058823529411772,3.1067961165048468,-0.8810572687224678,7.999999999999997,-8.0,1.121,0.95,6.3,7.3
364,364,364,KC,Salvador Perez,-20.01,7.058823529411772,19.805825242718445,-14.625550660792957,9.217391304347824,25.0,1.121,0.95,28.2,29.2
365,365,365,KC,Nick Pratto,-43.66,-2.3529411764705794,4.271844660194168,-38.76651982378856,16.86956521739129,-77.0,0.651,0.95,-87.0,-86.0
366,366,366,KC,Nick Loftin,-18.93,3.921568627450984,13.592233009708742,-9.691629955947135,-3.652173913043482,-18.0,1.033,0.95,-32.1,-31.1
367,367,367,KC,Nate Eaton,-40.22,-7.843137254901959,8.932038834951454,-23.083700440528624,5.217391304347822,-44.0,1.221,0.95,-95.9,-94.9
368,368,368,KC,MJ Melendez,-19.22,1.5686274509803937,-12.42718446601942,-16.916299559471373,6.782608695652169,-31.0,0.962,0.95,-65.1,-64.1
369,369,369,KC,Michael Massey,-33.69,4.705882352941181,9.70873786407767,-1.938325991189429,5.043478260869559,-39.0,1.039,0.95,-54.5,-53.5
370,370,370,KC,Matt Duffy,-34.04,3.921568627450984,14.368932038834956,-10.925110132158592,7.999999999999997,-28.0,0.918,0.95,-40.7,-39.7
371,371,371,KC,Matt Beaty,-36.26,2.3529411764705905,12.42718446601942,-3.876651982378858,2.956521739130428,-67.0,0.88,0.95,-84.9,-83.9
372,372,372,KC,Maikel Garcia,-21.49,2.3529411764705905,4.271844660194168,-1.938325991189429,8.695652173913041,-6.0,0.88,0.95,-11.8,-10.8
373,373,373,KC,Kyle Isbel,-26.87,6.274509803921575,7.766990291262132,-0.8810572687224678,4.695652173913038,-45.0,1.054,0.95,-54.1,-53.1
374,374,374,KC,J. Bradley Jr.,-44.76,-3.9215686274509736,9.320388349514564,-18.678414096916303,-0.347826086956522,-72.0,1.058,0.95,-123.9,-122.9
375,375,375,KC,Hunter Dozier,-31.450000000000003,-3.1372549019607767,3.883495145631061,-18.502202643171813,0.3478260869565124,-37.0,1.058,0.95,-81.6,-80.6
376,376,376,KC,N. Velazquez,-3.5100000000000016,0.7843137254902077,-5.825242718446607,-18.149779735682827,0.3478260869565124,41.0,1.221,0.95,17.0,18.0
377,377,377,CIN,TJ Friedl,6.4,-1.568627450980383,11.262135922330096,-4.581497797356832,-5.043478260869559,-12.0,1.625,0.95,-8.5,-7.5
378,378,378,CIN,Wil Myers,0.879999999999999,-4.70588235294117,3.4951456310679543,-29.074889867841406,2.086956521739123,-17.0,1.625,0.95,-42.1,-41.1
379,379,379,DET,Nick Maton,4.140000000000001,4.705882352941192,3.4951456310679543,8.105726872246704,-2.2608695652173934,21.0,0.864,0.95,37.2,38.2
380,380,380,DET,K. Carpenter,21.410000000000004,6.274509803921575,22.91262135922329,6.343612334801768,5.3913043478260825,64.0,0.884,0.95,106.1,107.1
381,381,381,DET,Javier Baez,8.86,8.627450980392165,23.689320388349504,1.585903083700442,-1.0434782608695758,12.0,0.917,0.95,46.8,47.8
382,382,382,DET,Jake Rogers,33.67,5.490196078431378,13.203883495145632,-4.757709251101316,6.60869565217391,44.0,1.346,0.95,125.6,126.6
383,383,383,DET,J. Schoop,4.02,4.705882352941192,19.02912621359223,8.281938325991186,6.434782608695648,10.0,0.906,0.95,49.8,50.8
384,384,384,CLE,Andres Gimenez,-58.85,3.1372549019607874,-1.1650485436893214,-10.925110132158592,-2.7826086956521765,-75.0,1.213,0.95,-167.8,-166.8
385,385,385,CLE,Bo Naylor,-54.150000000000006,0.7843137254902077,-21.747572815533992,-12.863436123348018,-1.217391304347827,-47.0,1.105,0.95,-143.0,-142.0
386,386,386,CLE,Brayan Rocchio,-67.2,-6.274509803921564,10.097087378640778,-52.68722466960352,-3.1304347826086985,-81.0,1.105,0.95,-190.2,-189.2
387,387,387,CLE,Cam Gallagher,-93.9,1.088453945710938e-14,6.601941747572813,-23.436123348017613,-13.73913043478261,-110.0,0.264,0.95,-58.8,-57.8
388,388,388,CLE,David Fry,-49.6,4.705882352941181,5.825242718446598,-29.779735682819386,7.999999999999997,-64.0,0.985,0.95,-116.8,-115.8
389,389,389,CLE,Eric Haase,-72.64999999999999,3.921568627450984,-1.5533980582524287,-24.84581497797356,1.2173913043478175,-86.0,0.985,0.95,-170.9,-169.9
390,390,390,CLE,Gabriel Arias,-64.60000000000001,-2.3529411764705794,0.3883495145630964,-34.53744493392069,-1.3913043478260885,-22.0,0.767,0.95,-90.7,-89.7
391,391,391,CLE,Jose Ramirez,-6.45,2.352941176470601,-0.3883495145631072,0.5286343612334904,2.086956521739123,-29.0,1.177,0.95,-34.5,-33.5
392,392,392,CLE,Josh Naylor,-11.650000000000002,4.705882352941181,8.543689320388347,-2.2907488986784066,1.3913043478260785,-1.0,1.105,0.95,-0.3,0.7
