,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
129,129,SEA,Dylan Moore,-14.96,-3.1372549019607767,-0.7766990291262251,-20.616740088105715,3.999999999999994,-56.0,0.7090000000000001,0.86,-55.8,-54.8
130,130,SEA,Eugenio Suarez,-13.25,3.921568627450984,-0.7766990291262251,-14.801762114537448,7.304347826086953,-40.0,0.892,0.86,-44.2,-43.2
131,131,SEA,J. Rodriguez,48.34,8.627450980392155,17.4757281553398,-3.171806167400874,-0.8695652173913051,32.0,1.187,0.86,104.5,105.5
132,132,SEA,J.P. Crawford,-3.16,1.5686274509804046,-1.1650485436893323,-0.7048458149779644,3.8260869565217335,-1.0,1.021,0.86,-0.6,0.4
133,133,SEA,Jarred Kelenic,-2.9400000000000004,3.1372549019607874,3.1067961165048468,-17.092511013215844,5.043478260869559,-11.0,1.049,0.86,-17.8,-16.8
134,134,SEA,Josh Rojas,-14.12,2.3529411764705905,17.4757281553398,-7.753303964757707,3.999999999999994,-26.0,0.775,0.86,-16.0,-15.0
135,135,HOU,Alex Bregman,45.76,-1.568627450980383,-5.825242718446607,10.572687224669604,-12.869565217391306,87.0,0.95,0.86,100.5,101.5
136,136,SEA,Mike Ford,1.8999999999999984,-2.3529411764705794,-1.0778864316749092e-14,-14.44933920704846,-3.652173913043482,-14.0,0.749,0.86,-21.0,-20.0
137,137,SEA,Sam Haggerty,-17.85,1.5686274509804046,19.805825242718445,-7.048458149779733,5.565217391304344,-33.0,0.99,0.86,-26.4,-25.4
138,138,SEA,T. Hernandez,6.67,-1.568627450980383,21.74757281553398,-16.916299559471373,4.347826086956515,-22.0,0.7310000000000001,0.86,-4.9,-3.9000000000000004
139,139,SEA,T. Trammell,-5.97,-5.490196078431367,6.213592233009705,-28.89867841409692,-9.217391304347824,-27.0,0.7310000000000001,0.86,-60.5,-59.5
140,140,SEA,Tom Murphy,7.4,1.088453945710938e-14,7.766990291262132,-9.691629955947135,3.30434782608695,-4.0,0.7310000000000001,0.86,4.1,5.1
141,141,SEA,Ty France,0.25,10.980392156862743,19.805825242718445,5.286343612334807,5.3913043478260825,-39.0,0.811,0.86,1.9,2.9
142,142,SEA,Cal Raleigh,-5.880000000000001,-1.568627450980383,0.7766990291262036,-10.220264317180616,1.5652173913043397,6.0,0.982,0.86,-7.9,-6.9
143,143,SEA,Cade Marlowe,-25.88,-1.568627450980383,8.15533980582524,-33.303964757709245,-7.130434782608692,-63.0,0.7010000000000001,0.86,-105.5,-104.5
144,144,HOU,Mauricio Dubon,33.849999999999994,3.921568627450984,12.42718446601942,11.982378854625551,-9.913043478260867,18.0,1.291,0.86,78.0,79.0
145,145,HOU,M. Maldonado,22.93,-7.058823529411761,-4.271844660194179,-22.555066079295145,-19.304347826086968,7.0,0.993,0.86,-19.9,-18.9
146,146,HOU,M. Brantley,23.46,1.088453945710938e-14,0.7766990291262036,13.039647577092513,-9.73913043478261,40.0,0.7310000000000001,0.86,42.5,43.5
147,147,HOU,Kyle Tucker,76.41,2.3529411764705905,-10.87378640776699,6.872246696035238,-15.1304347826087,67.0,1.145,0.86,124.7,125.7
148,148,HOU,Jose Altuve,41.61,3.921568627450984,5.048543689320383,8.281938325991186,-25.217391304347828,74.0,1.113,0.86,103.0,104.0
