,Team,Player,Opp,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
141,KC,Pasquantino,NYY,-5.82,70.58823529411771,46.60194174757276,-12.334801762114452,26.08695652173905,6.0,0.92,1.13,1.5,
142,WAS,Chavis,ATL,-21.3,-31.372549019607767,264.07766990291253,-230.83700440528625,187.82608695652183,-27.0,1.297,1.03,1.5,
143,CHW,Jimenez,SD,14.96,62.74509803921575,77.66990291262132,24.669603524229096,-99.13043478260867,57.0,1.117,0.99,1.5,
144,SD,Cronenworth,CHW,-53.41,101.96078431372548,120.38834951456312,7.048458149779839,33.0434782608695,-55.0,0.671,0.99,1.5,
145,SF,Jr,LAD,8.059999999999999,1.088453945710938e-13,-19.417475728155463,66.96035242290755,60.869565217391255,32.0,0.957,1.0,1.5,
146,CIN,Senzel,STL,-10.03,47.05882352941192,89.32038834951454,84.5814977973568,-29.565217391304373,-40.0,1.132,0.96,1.5,
147,TEX,Taveras,SEA,3.1500000000000004,47.05882352941181,77.66990291262132,42.29074889867845,0.0,9.0,1.0670000000000002,0.8,1.5,
148,ATL,Rosario,WAS,19.17,54.90196078431378,97.08737864077668,15.85903083700442,57.39130434782604,69.0,0.424,1.03,1.4,
149,CLE,Gonzalez,DET,1.4000000000000004,39.21568627450984,159.2233009708737,-52.86343612334797,13.913043478260786,-20.0,1.024,0.98,1.4,
150,TB,Margot,TOR,-11.03,-7.84313725490186,205.8252427184466,-26.431718061673934,-1.7391304347826102,-31.0,1.147,0.96,1.4,
151,NYY,LeMahieu,KC,9.14,70.58823529411761,-11.650485436893216,103.96475770925107,-60.86956521739136,21.0,0.94,1.13,1.4,
152,MIA,Edwards,PIT,-0.2099999999999995,47.05882352941181,116.50485436893206,-0.0,-83.47826086956519,39.0,1.068,1.02,1.3,
153,ARI,Rivera,HOU,-11.330000000000002,78.43137254901968,-31.067961165048573,33.480176211453774,114.7826086956522,-41.0,0.858,1.03,1.3,
154,MIA,Wendle,PIT,4.890000000000001,117.64705882352942,66.01941747572812,132.1585903083701,-43.47826086956526,39.0,0.389,1.02,1.3,
155,BAL,Frazier,BOS,-9.13,23.529411764705905,147.57281553398062,-77.53303964757707,118.26086956521742,-32.0,0.735,1.01,1.3,
156,MIL,Adames,CHC,1.7900000000000005,-15.68627450980383,69.90291262135919,26.43171806167404,22.60869565217384,50.0,0.912,0.91,1.3,
157,SEA,Rodriguez,TEX,30.77,47.05882352941192,58.25242718446597,-8.810572687224678,3.478260869565124,55.0,0.896,0.8,1.3,2.0
158,SEA,Haggerty,TEX,-11.97,1.088453945710938e-13,54.3689320388349,24.669603524229096,62.60869565217387,-4.0,1.187,0.8,1.2,
159,LAA,Stefanic,OAK,-13.43,-7.84313725490186,85.43689320388347,35.24229074889871,8.695652173912954,-21.0,1.335,1.0,1.2,
160,ATL,Riley,WAS,38.33,54.90196078431378,-31.067961165048573,-49.33920704845811,31.30434782608689,46.0,1.301,1.03,1.2,
161,SF,Slater,LAD,0.9099999999999993,54.90196078431378,34.951456310679546,-15.859030837004322,41.73913043478255,-14.0,1.208,1.0,1.2,
162,WAS,Young,ATL,-12.82,-31.372549019607767,244.6601941747572,-91.62995594713657,24.34782608695645,-18.0,1.297,1.03,1.2,
163,ATL,d'Arnaud,WAS,15.709999999999996,47.05882352941192,66.01941747572812,-37.00440528634364,39.999999999999936,15.0,0.8210000000000001,1.03,1.2,
164,ARI,Marte,HOU,1.3299999999999996,47.05882352941181,-128.15533980582526,118.06167400881058,29.56521739130428,23.0,1.245,1.03,1.2,5.0
165,NYY,Higashioka,KC,11.13,117.64705882352942,-3.88349514563118,12.334801762114548,-8.69565217391315,13.0,0.764,1.13,1.2,
166,CIN,Marte,STL,-4.879999999999999,31.37254901960798,66.01941747572812,65.1982378854625,-36.52173913043482,8.0,0.969,0.96,1.2,5.0
167,SF,Yastrzemski,LAD,12.36,39.21568627450995,-85.43689320388359,56.38766519823793,104.34782608695652,31.0,0.753,1.0,1.2,
168,TB,Mejia,TOR,-40.71,23.529411764705905,240.77669902912612,-111.01321585903084,60.869565217391255,-54.0,1.02,0.96,1.1,
169,MIL,Voit,CHC,-6.7700000000000005,-31.372549019607767,205.8252427184466,-167.40088105726855,86.95652173913041,37.0,0.939,0.91,1.1,
170,COL,Trejo,MIN,-28.05,101.96078431372558,182.52427184466012,-123.3480176211454,81.73913043478258,-65.0,0.548,1.28,1.1,5.0
171,KC,Perez,NYY,-20.45,101.96078431372548,198.05825242718444,-133.920704845815,45.21739130434777,-86.0,0.92,1.13,1.1,4.0
172,KC,Isbel,NYY,-26.71,70.58823529411771,85.43689320388347,9.781700657490364e-14,5.217391304347831,-24.0,0.857,1.13,1.1,4.0
173,BAL,O'Hearn,BOS,-14.19,70.58823529411771,93.20388349514562,-123.3480176211454,78.26086956521736,2.0,1.021,1.01,1.1,
174,MIA,Bell,PIT,15.83,94.11764705882352,-100.97087378640778,63.43612334801758,-31.304347826086985,52.0,1.133,1.02,1.1,
175,LAD,Smith,SF,-7.81,54.90196078431378,112.62135922330096,102.20264317180616,-78.26086956521736,-12.0,0.665,1.0,1.1,4.0
176,ARI,Pham,HOU,13.75,31.372549019607877,-93.20388349514562,81.05726872246693,95.65217391304346,3.0,0.797,1.03,1.1,
177,CLE,Calhoun,DET,35.239999999999995,47.05882352941181,23.300970873786323,-65.1982378854625,17.391304347826004,56.0,0.891,0.98,1.0,
178,TEX,Duran,SEA,-31.540000000000003,62.74509803921564,128.15533980582526,-3.524229074889773,-13.913043478260882,-26.0,1.097,0.8,1.0,
179,WAS,Call,ATL,-8.64,-7.84313725490186,97.08737864077668,21.145374449339226,27.826086956521667,-29.0,1.297,1.03,1.0,
180,TOR,Clement,TB,-30.73,70.58823529411771,287.378640776699,29.955947136564003,41.73913043478255,-2.0,0.264,0.96,1.0,
181,CHC,Mastrobuoni,MIL,13.71,39.21568627450995,89.32038834951454,-29.955947136563807,-41.739130434782645,35.0,1.084,0.91,1.0,
182,STL,Carlson,CIN,3.0199999999999982,15.686274509803935,85.43689320388347,-14.096916299559386,13.913043478260786,4.0,0.841,0.96,1.0,
183,MIA,Hampson,PIT,0.4900000000000002,39.21568627450984,23.300970873786323,-1.7621145374449354,62.60869565217387,-5.0,0.864,1.02,1.0,
184,DET,Baez,CLE,-15.18,31.372549019607877,7.766990291262143,66.96035242290745,-1.739130434782707,2.0,0.994,0.98,0.9,
185,TOR,Heineman,TB,-38.36,-39.215686274509736,217.47572815533985,-77.53303964757707,104.34782608695652,-23.0,0.664,0.96,0.9,
186,DET,Vierling,CLE,-10.289999999999996,23.529411764705905,-85.43689320388347,119.82378854625551,27.826086956521667,33.0,0.881,0.98,0.9,
187,BOS,McGuire,BAL,4.850000000000001,7.843137254902077,120.38834951456312,54.625550660793,-46.95652173913038,-9.0,0.685,1.01,0.9,
188,MIA,Myers,PIT,3.9899999999999993,54.90196078431378,81.55339805825241,-15.85903083700442,34.78260869565211,-13.0,0.597,1.02,0.9,
189,LAA,Schanuel,OAK,-20.030000000000005,7.843137254902077,77.66990291262132,-12.334801762114452,31.30434782608689,-7.0,1.164,1.0,0.9,
190,CLE,Laureano,DET,16.35,39.21568627450984,62.13592233009705,-70.48458149779732,-8.69565217391315,37.0,1.181,0.98,0.9,1.0
191,STL,Fermin,CIN,16.24,-23.529411764705795,186.40776699029124,-206.16740088105715,113.0434782608694,19.0,0.884,0.96,0.9,
192,MIN,Larnach,COL,32.629999999999995,31.372549019607877,-62.135922330097145,-102.20264317180616,168.6956521739129,11.0,0.894,1.28,0.9,4.0
193,SF,Conforto,LAD,-12.01,62.74509803921575,-34.951456310679646,105.72687224669605,-6.956521739130441,11.0,0.749,1.0,0.9,
194,DET,McKinstry,CLE,-9.659999999999998,23.529411764705905,-124.2718446601942,121.58590308370044,102.6086956521739,6.0,0.716,0.98,0.8,4.0
195,CHC,Tauchman,MIL,5.610000000000001,54.90196078431378,-3.88349514563118,-10.572687224669613,22.60869565217384,21.0,1.033,0.91,0.8,
196,SF,Villar,LAD,6.389999999999999,31.37254901960798,66.01941747572812,-66.96035242290745,38.26086956521733,1.0,0.668,1.0,0.8,
197,LAD,Marisnick,SF,-17.23,23.529411764705905,205.8252427184466,-37.00440528634354,-52.17391304347832,-40.0,1.433,1.0,0.8,
198,NYY,Pereira,KC,-3.42,62.74509803921575,100.97087378640778,-151.54185022026434,88.69565217391303,4.0,0.7310000000000001,1.13,0.8,
199,SF,Bailey,LAD,-20.33,62.74509803921575,81.55339805825241,-58.14977973568277,109.56521739130436,-32.0,0.5609999999999999,1.0,0.8,
200,STL,Mercado,CIN,14.679999999999998,-62.74509803921564,147.57281553398062,-93.39207048458148,69.56521739130432,12.0,0.7310000000000001,0.96,0.8,
201,CIN,Bader,STL,6.370000000000001,86.27450980392166,34.951456310679546,169.16299559471372,5.217391304347734,8.0,0.264,0.96,0.8,
202,WAS,Blankenhorn,ATL,1.8300000000000003,-62.74509803921564,302.9126213592233,-183.2599118942732,-29.565217391304373,40.0,1.297,1.03,0.7,
203,STL,Knizner,CIN,27.559999999999995,-15.68627450980383,221.35922330097088,-126.87224669603526,-59.130434782608745,37.0,0.841,0.96,0.7,
204,SF,Crawford,LAD,-7.680000000000001,54.90196078431378,15.533980582524178,-22.907488986784067,36.52173913043471,-5.0,1.002,1.0,0.7,4.0
205,CHW,Vaughn,SD,21.48,47.05882352941181,15.533980582524178,-14.096916299559386,-43.47826086956526,43.0,1.031,0.99,0.7,
206,ARI,Moreno,HOU,4.74,39.21568627450984,-93.20388349514562,74.0088105726872,50.43478260869559,-14.0,1.0470000000000002,1.03,0.7,
207,CIN,Martini,STL,-6.769999999999998,47.05882352941192,-132.03883495145632,109.25110132158592,38.26086956521733,36.0,0.8140000000000001,0.96,0.7,6.0
208,DET,Rogers,CLE,2.5600000000000014,1.088453945710938e-13,-31.067961165048573,-28.193832599118878,69.56521739130432,34.0,1.379,0.98,0.6,
209,LAD,Martinez,SF,25.980000000000004,15.686274509803935,73.78640776699027,-89.86784140969162,-12.17391304347827,30.0,1.433,1.0,0.6,4.0
210,TEX,Jankowski,SEA,-15.249999999999998,-23.529411764705795,120.38834951456312,111.01321585903084,-83.47826086956519,-16.0,0.764,0.8,0.6,
211,KC,Olivares,NYY,-17.46,31.372549019607877,139.80582524271838,-74.0088105726872,24.34782608695645,-45.0,0.973,1.13,0.6,4.0
212,ARI,McCarthy,HOU,-27.84,23.52941176470601,23.300970873786323,98.67841409691628,31.30434782608689,-47.0,0.5640000000000001,1.03,0.6,
213,BOS,Turner,BAL,10.19,31.372549019607877,-15.533980582524396,95.15418502202644,-38.26086956521743,6.0,0.683,1.01,0.6,
214,MIA,Sanchez,PIT,21.15,86.27450980392155,-112.62135922330096,-10.572687224669613,15.652173913043397,64.0,0.852,1.02,0.6,
215,WAS,Kieboom,ATL,2.67,-31.372549019607767,264.07766990291253,-140.96916299559473,-10.43478260869566,-23.0,1.297,1.03,0.6,4.0
216,LAA,Rendon,OAK,-5.85,23.52941176470601,27.184466019417396,31.71806167400884,-9.654113257610057e-14,-18.0,1.431,1.0,0.6,
217,BOS,Rafaela,BAL,-0.9000000000000004,39.21568627450984,147.57281553398053,-151.54185022026434,34.7826086956522,3.0,0.844,1.01,0.6,
218,CHC,Swanson,MIL,14.150000000000002,47.05882352941181,58.25242718446597,-31.71806167400874,-29.565217391304472,17.0,0.87,0.91,0.6,
219,TB,Lowe,TOR,5.489999999999999,54.90196078431378,50.48543689320383,-119.82378854625551,74.78260869565216,-15.0,0.799,0.96,0.5,
220,HOU,Julks,ARI,-54.290000000000006,23.529411764705905,58.25242718446597,-10.572687224669613,53.913043478260825,-18.0,1.037,1.03,0.5,
221,KC,Massey,NYY,-52.72,39.21568627450984,108.73786407766993,-33.480176211453674,17.391304347826004,-43.0,1.103,1.13,0.5,
222,TB,Ramirez,TOR,4.440000000000003,0.0,182.52427184466012,-68.72246696035238,-19.130434782608717,-53.0,1.1880000000000002,0.96,0.5,
223,SEA,Rojas,TEX,-8.13,1.088453945710938e-13,27.184466019417396,-14.096916299559483,64.34782608695647,4.0,0.773,0.8,0.5,5.0
224,BAL,Mountcastle,BOS,-20.71,39.21568627450984,182.52427184466012,-170.92511013215866,85.2173913043478,-50.0,0.764,1.01,0.5,
225,TB,Mead,TOR,-25.61,15.686274509803935,240.77669902912612,-116.29955947136564,-10.43478260869566,-55.0,1.02,0.96,0.5,
226,SF,Bart,LAD,-22.96,39.21568627450995,104.85436893203882,10.572687224669613,-46.95652173913047,-32.0,0.957,1.0,0.5,
227,BOS,Story,BAL,-1.2899999999999991,-7.84313725490186,89.32038834951454,-56.38766519823784,43.47826086956516,-25.0,0.9,1.01,0.4,4.0
228,STL,Yepez,CIN,-2.64,-23.529411764705795,213.5922330097087,-114.53744493392072,-1.739130434782707,24.0,0.389,0.96,0.4,
229,DET,Torkelson,CLE,0.1900000000000008,23.529411764705905,-104.85436893203882,75.77092511013213,31.30434782608689,25.0,0.876,0.98,0.4,5.0
230,KC,Beaty,NYY,-46.19,23.529411764705905,135.9223300970873,-40.528634361233415,-10.43478260869566,-24.0,0.903,1.13,0.4,
231,ARI,Smith,HOU,-8.34,15.686274509804043,-77.66990291262144,91.62995594713657,19.130434782608614,-2.0,0.963,1.03,0.4,4.0
232,MIN,Luplow,COL,25.64,31.372549019607877,-0.0,-42.29074889867845,57.39130434782604,42.0,0.264,1.28,0.4,
233,WAS,Hill,ATL,-10.56,-62.74509803921564,244.6601941747572,-96.91629955947135,-8.69565217391305,-24.0,1.297,1.03,0.4,
234,HOU,McCormick,ARI,-19.070000000000007,15.686274509803935,66.01941747572812,-79.295154185022,88.69565217391303,-39.0,1.037,1.03,0.4,
235,ARI,Fletcher,HOU,-21.74000000000001,47.05882352941181,73.78640776699027,-56.38766519823784,8.695652173912954,-8.0,1.183,1.03,0.4,
236,DET,Lipcius,CLE,0.1000000000000018,15.686274509803935,-69.90291262135919,12.334801762114648,62.60869565217387,14.0,0.986,0.98,0.3,
237,LAA,Ward,OAK,15.34,31.37254901960798,-62.13592233009705,37.00440528634364,5.217391304347734,4.0,1.085,1.0,0.3,
238,MIL,Yelich,CHC,34.97,-62.74509803921564,69.90291262135919,-42.29074889867836,-12.17391304347827,36.0,1.448,0.91,0.3,
239,COL,Tovar,MIN,0.7800000000000047,70.58823529411771,233.009708737864,-234.3612334801761,26.08695652173905,-74.0,1.02,1.28,0.3,
240,MIL,Anderson,CHC,-19.34,-54.90196078431367,166.990291262136,-105.72687224669605,13.913043478260786,28.0,1.264,0.91,0.3,
241,KC,Duffy,NYY,-37.19,47.05882352941181,155.33980582524265,-112.7753303964758,39.999999999999936,-70.0,1.264,1.13,0.3,
242,BAL,McCann,BOS,-20.78,62.74509803921575,159.22330097087382,-227.3127753303964,104.34782608695652,-50.0,0.992,1.01,0.3,
243,CHW,Robert,SD,5.7,54.90196078431378,-15.533980582524286,-111.01321585903084,55.65217391304344,37.0,0.999,0.99,0.3,
244,TOR,Springer,TB,-24.42,54.90196078431378,19.417475728155253,-51.10132158590303,17.391304347826004,14.0,0.888,0.96,0.3,
245,NYY,Peraza,KC,-2.62,15.686274509803935,190.29126213592232,-98.67841409691628,-92.17391304347824,10.0,0.921,1.13,0.2,
246,BOS,Verdugo,BAL,27.360000000000003,1.088453945710938e-13,-46.60194174757286,112.7753303964758,-46.95652173913038,-16.0,0.5740000000000001,1.01,0.2,
247,CHC,Hosmer,MIL,-1.2599999999999998,23.52941176470601,112.62135922330096,-15.85903083700442,-104.34782608695652,8.0,0.87,0.91,0.2,
248,CIN,Fairchild,STL,-17.59,31.37254901960798,31.067961165048462,-54.6255506607929,45.21739130434777,-6.0,0.864,0.96,0.2,
249,HOU,Meyers,ARI,-63.45,39.21568627450984,151.45631067961156,-61.67400881057264,13.913043478260882,-65.0,1.639,1.03,0.2,
250,LAD,Vargas,SF,-7.470000000000001,31.372549019607877,97.08737864077668,-12.334801762114452,-57.391304347826136,-34.0,0.991,1.0,0.2,
251,STL,Nootbaar,CIN,36.32,23.529411764705905,38.834951456310606,-35.24229074889861,8.695652173912954,-40.0,0.81,0.96,0.2,
252,COL,Castro,MIN,-40.23,47.05882352941192,213.5922330097087,-241.4096916299559,76.52173913043475,-41.0,0.875,1.28,0.2,
