Team,Player,PP,XBH,BB,K,Line,H,OPS,Score
WAS,Riley Adams,14.4,11.764705882352942,-18.640776699029125,13.039647577092513,11.65217391304346,-13.0,,19.2
NYY,G. Stanton,10.19,-3.9215686274509736,9.70873786407768,16.38766519823789,-9.391304347826086,3.0,0.737,19.1
CHW,Korey Lee,13.799999999999999,-10.980392156862745,-18.252427184466026,34.889867841409696,-6.782608695652169,16.0,0.914,18.7
SD,Garrett Cooper,13.469999999999999,11.764705882352942,-5.825242718446598,-3.7004405286343545,13.043478260869566,1.0,0.629,18.7
TB,Josh Lowe,2.3400000000000007,-2.3529411764705794,-10.097087378640778,10.748898678414097,5.043478260869559,13.0,,18.7
SD,X. Bogaerts,13.799999999999999,11.764705882352942,-8.543689320388347,-21.145374449339208,-2.7826086956521765,19.0,1.515,18.3
SF,David Villar,13.799999999999999,-7.058823529411761,1.1650485436893323,24.14096916299559,-0.34782608695652206,-14.0,0.847,17.9
CHW,T. Thompson,13.799999999999999,-6.274509803921564,0.7766990291262144,27.312775330396473,-10.434782608695652,18.0,0.486,17.1
NYY,Jake Bauers,18.169999999999998,-3.1372549019607767,13.203883495145632,26.25550660792951,-1.0434782608695758,11.0,0.264,17.0
NYM,Luis Guillorme,13.799999999999999,3.921568627450995,5.048543689320393,-4.933920704845811,9.043478260869565,10.0,0.882,16.8
NYM,Mark Vientos,13.799999999999999,-0.784313725490186,-7.378640776699026,22.907488986784152,-5.3913043478260825,14.0,0.997,16.5
TEX,Sam Huff,14.41,1.088453945710938e-14,-15.922330097087382,28.722466960352417,2.6086956521739055,31.0,0.264,16.1
WAS,C. Dickerson,7.879999999999999,12.549019607843139,-21.74757281553397,-3.3480176211453774,-1.3913043478260978,22.0,,15.9
BAL,Ryan McKenna,13.799999999999999,0.7843137254901968,-13.592233009708742,3.3480176211453676,-7.304347826086964,25.0,0.46399999999999997,15.6
SF,L. Wade Jr,13.799999999999999,-6.274509803921564,0.38834951456311795,13.039647577092513,1.217391304347827,-9.0,1.194,14.9
LAA,Brandon Drury,10.840000000000002,3.137254901960798,-25.631067961165044,18.32599118942732,7.826086956521737,0.0,1.0190000000000001,14.8
TEX,R. Grossman,-6.35,0.7843137254902077,6.213592233009715,1.938325991189429,3.8260869565217335,17.0,0.617,14.4
TB,Jose Siri,-11.26,-5.490196078431367,-22.91262135922329,29.955947136563875,4.521739130434777,20.0,0.965,14.3
TOR,W. Merrifield,13.799999999999999,7.058823529411772,-10.87378640776699,-5.110132158590303,4.695652173913038,23.0,0.399,14.0
ARI,Evan Longoria,2.020000000000001,1.088453945710938e-14,-3.1067961165048468,9.162995594713655,1.217391304347827,10.0,0.714,13.8
CHC,T. Barnhart,16.5,1.088453945710938e-14,-18.640776699029125,-4.93392070484582,4.695652173913038,16.0,,13.6
OAK,Cody Thomas,-1.2600000000000011,-9.411764705882351,-6.601941747572813,36.47577092511013,-7.826086956521737,2.0,,13.4
